start,end,eventtype,operationtype,time,ref.size
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\CertificateRevocation\6921\manifest.json,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",FileEvent,Read,2021-10-08 17:15:47.87,8192
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\PKIMetadata\51\ct_config.pb,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",FileEvent,Read,2021-10-08 17:15:52.271,16384
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\Shortcuts,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",FileEvent,Read,2021-10-08 17:15:52.212,12388
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\Sessions\Session_13279170662872715,FileEvent,Write,2021-10-08 17:15:49.575,10128
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=data_decoder.mojom.DataDecoderService --field-trial-handle=1028,1754203812665202285,1081605286540189118,131072 --lang=zh-CN --service-sandbox-type=service --mojo-platform-channel-handle=2392 /prefetch:8
PID:3388",ProcessEvent,Create,2021-10-08 17:15:52.316,
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Local State~RF31ad39.TMP,FileEvent,Delete,2021-10-08 17:15:58.287,0
C:\Users\jpdz\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\24BD96D5497F70B3F510A6B53CD43F3E_3A89246FB90C5EE6620004F1AE0EB0EA,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",FileEvent,Read,2021-10-08 17:15:47.440,410
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\shared_proto_db\MANIFEST-000001,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",FileEvent,Read,2021-10-08 17:15:52.491,32768
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\chrome_shutdown_ms.txt,FileEvent,Delete,2021-10-08 17:15:52.171,0
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\chrome_shutdown_ms.txt,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",FileEvent,Read,2021-10-08 17:15:52.171,8192
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\PKIMetadata\51\manifest.fingerprint,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",FileEvent,Read,2021-10-08 17:15:47.88,8192
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\Web Data,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",FileEvent,Read,2021-10-08 17:15:47.69,16484
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\ThirdPartyModuleList32\2018.7.19.1\manifest.fingerprint,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",FileEvent,Read,2021-10-08 17:15:47.88,8192
C:\Windows\System32\mf.dll,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",FileEvent,Read,2021-10-08 17:15:52.470,4096
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\Sessions\Session_13279022487986185,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",FileEvent,Read,2021-10-08 17:15:49.574,3812
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\SSLErrorAssistant\7\ssl_error_assistant.pb,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",FileEvent,Read,2021-10-08 17:15:52.268,8192
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\Sync Data\LevelDB\MANIFEST-000001,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",FileEvent,Read,2021-10-08 17:15:47.382,32768
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\data_reduction_proxy_leveldb\LOG.old~RF31957b.TMP,FileEvent,Delete,2021-10-08 17:15:52.174,0
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\History,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",FileEvent,Read,2021-10-08 17:15:47.66,2121976
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\shared_proto_db\metadata\LOG.old~RF3196b3.TMP,FileEvent,Delete,2021-10-08 17:15:52.488,0
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\764403da-ef5a-48a7-8f20-192d3b399ac2.tmp,FileEvent,Write,2021-10-08 17:15:57.103,88372
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\OptimizationHints\302\manifest.json,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",FileEvent,Read,2021-10-08 17:15:47.86,8192
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\data_reduction_proxy_leveldb\LOG,FileEvent,Write,2021-10-08 17:15:52.175,12514
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\pnacl\0.57.44.2492\_platform_specific\x86_32\pnacl_public_pnacl_json,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",FileEvent,Read,2021-10-08 17:15:47.85,8192
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\Sessions\Tabs_13279170662976388,FileEvent,Write,2021-10-08 17:15:49.679,8452
C:\Program Files\Google\Chrome\Application\94.0.4606.81\resources.pak,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",FileEvent,Read,2021-10-08 17:15:52.176,7983104
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\shared_proto_db\metadata\CURRENT,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",FileEvent,Read,2021-10-08 17:15:52.488,16384
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" cbs.com
PID:1060",C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\LOG.old~RF31976f.TMP,FileEvent,Delete,2021-10-08 17:15:52.682,0
