start,end,eventtype,operationtype,time,ref.size
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\History-journal,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://netgate-store.com/.1und1/www.1und1.de
PID:2532",FileEvent,Read,2021-10-08 17:15:58.925,8
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://netgate-store.com/.1und1/www.1und1.de
PID:2532",C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\History-journal,FileEvent,Write,2021-10-08 17:15:48.911,57944
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\CertificateRevocation\6921\manifest.json,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://netgate-store.com/.1und1/www.1und1.de
PID:2532",FileEvent,Read,2021-10-08 17:15:47.489,8192
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://netgate-store.com/.1und1/www.1und1.de
PID:2532",C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\Sessions\Session_13279222877197288,FileEvent,Write,2021-10-08 17:15:49.977,25040
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\PKIMetadata\51\ct_config.pb,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://netgate-store.com/.1und1/www.1und1.de
PID:2532",FileEvent,Read,2021-10-08 17:15:53.18,16384
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\Shortcuts,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://netgate-store.com/.1und1/www.1und1.de
PID:2532",FileEvent,Read,2021-10-08 17:15:52.846,12388
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://netgate-store.com/.1und1/www.1und1.de
PID:2532",C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\Preferences~RF31ae23.TMP,FileEvent,Delete,2021-10-08 17:15:58.435,0
C:\Users\jpdz\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\24BD96D5497F70B3F510A6B53CD43F3E_3A89246FB90C5EE6620004F1AE0EB0EA,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://netgate-store.com/.1und1/www.1und1.de
PID:2532",FileEvent,Read,2021-10-08 17:15:47.814,410
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\shared_proto_db\MANIFEST-000001,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://netgate-store.com/.1und1/www.1und1.de
PID:2532",FileEvent,Read,2021-10-08 17:15:53.305,32768
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://netgate-store.com/.1und1/www.1und1.de
PID:2532",C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\AutofillStrikeDatabase\LOG.old~RF319905.TMP,FileEvent,Delete,2021-10-08 17:15:53.70,0
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://netgate-store.com/.1und1/www.1und1.de
PID:2532",C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\chrome_shutdown_ms.txt,FileEvent,Delete,2021-10-08 17:15:52.808,0
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\chrome_shutdown_ms.txt,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://netgate-store.com/.1und1/www.1und1.de
PID:2532",FileEvent,Read,2021-10-08 17:15:52.808,8192
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\PKIMetadata\51\manifest.fingerprint,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://netgate-store.com/.1und1/www.1und1.de
PID:2532",FileEvent,Read,2021-10-08 17:15:47.490,8192
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\Web Data,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://netgate-store.com/.1und1/www.1und1.de
PID:2532",FileEvent,Read,2021-10-08 17:15:47.512,16484
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\ThirdPartyModuleList32\2018.7.19.1\manifest.fingerprint,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://netgate-store.com/.1und1/www.1und1.de
PID:2532",FileEvent,Read,2021-10-08 17:15:47.490,8192
"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://netgate-store.com/.1und1/www.1und1.de
PID:2532",C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\f37c10f1-d358-481c-b8ea-0921549e681a.tmp,FileEvent,Write,2021-10-08 17:15:47.486,48969
C:\Windows\System32\mf.dll,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://netgate-store.com/.1und1/www.1und1.de
PID:2532",FileEvent,Read,2021-10-08 17:15:53.286,4096
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\Default\Sessions\Session_13279022487986185,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://netgate-store.com/.1und1/www.1und1.de
PID:2532",FileEvent,Read,2021-10-08 17:15:49.977,3812
C:\Users\jpdz\AppData\Local\Google\Chrome\User Data\SSLErrorAssistant\7\ssl_error_assistant.pb,"""C:\Program Files\Google\Chrome\Application\chrome.exe"" http://netgate-store.com/.1und1/www.1und1.de
PID:2532",FileEvent,Read,2021-10-08 17:15:53.16,8192
