start,end,eventtype,operationtype,time,ref.size
C:\Program Files\Mozilla Firefox\api-ms-win-crt-multibyte-l1-1-0.dll,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",FileEvent,Read,2021-10-09 16:24:10.531,65536
"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\cache2\entries\9A4BDB23F7741C66C05CB5A6934FF7E9014ED6ED,FileEvent,Write,2021-10-09 16:24:15.966,2082
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\social-tracking-protection-facebook-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",FileEvent,Read,2021-10-09 16:24:12.558,453
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google4\goog-malware-proto.metadata,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",FileEvent,Read,2021-10-09 16:24:12.791,71
"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0c3666b5-67b1-4855-b50d-d5fbfc0d2874^userContextId=4294967295\.metadata-v2,FileEvent,Write,2021-10-09 16:24:16.544,8
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0c3666b5-67b1-4855-b50d-d5fbfc0d2874^userContextId=4294967295\.metadata-v2,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",FileEvent,Read,2021-10-09 16:24:13.165,512
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google-trackwhite-digest256.sbstore,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",FileEvent,Read,2021-10-09 16:24:12.790,46359
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\extension-settings.json,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",FileEvent,Read,2021-10-09 16:24:10.890,284
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\1451318868ntouromlalnodry--epcr.sqlite,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",FileEvent,Read,2021-10-09 16:24:10.796,37064
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google-trackwhite-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",FileEvent,Read,2021-10-09 16:24:12.551,3014656
C:\Users\jpdz\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Firefox.lnk,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",FileEvent,Read,2021-10-09 16:24:12.793,4096
C:\Program Files\desktop.ini,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",FileEvent,Read,2021-10-09 16:24:12.795,176
"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0424fd79-b62a-421f-bf32-0d1549ab34f2^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite,FileEvent,Write,2021-10-09 16:24:21.466,8192
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0424fd79-b62a-421f-bf32-0d1549ab34f2^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",FileEvent,Read,2021-10-09 16:24:18.477,37064
"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++7b7c287d-b9ee-4c40-99c0-63c5bd847cee^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:16.543,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++7b7c287d-b9ee-4c40-99c0-63c5bd847cee^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:28.68,0
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++7b7c287d-b9ee-4c40-99c0-63c5bd847cee^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite-shm,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",FileEvent,Read,2021-10-09 16:24:16.543,65536
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\base-cryptomining-track-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",FileEvent,Read,2021-10-09 16:24:12.550,2277
"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",204.93.163.59,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:13.257,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",204.93.163.59,IpChannelEvent,TcpIpDisconnect,2021-10-09 16:24:13.693,0
204.93.163.59,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:13.475,1466
"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",204.93.163.59,IpChannelEvent,TcpIpSend,2021-10-09 16:24:13.374,674
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\.metadata-v2,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",FileEvent,Read,2021-10-09 16:24:10.782,512
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\analytics-track-digest256.sbstore,"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",FileEvent,Read,2021-10-09 16:24:12.788,559
"""C:\Program Files\Mozilla Firefox\firefox.exe"" http://daniellegiglia.com/xvxxhtml-rx.html
PID:2500",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\2823318777ntouromlalnodry--naod.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:12.829,0
